targeted_productivity,standard_minute_value,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
0.75,29.12,6960,55,0,0,0,58,yes
0.75,4.08,1080,0,0,0,0,9,yes
0.7,20.55,6480,60,0,0,0,54,yes
0.7,18.79,3960,30,0,0,0,33,yes
0.65,4.15,960,0,0,0,0,8,yes
0.75,3.94,2280,0,0,0,0,19,yes
0.5,30.1,6960,0,0,0,0,58,yes
0.7,24.26,6720,0,0,0,0,56,yes
0.6,2.9,1200,0,0,0,0,10,yes
0.65,24.26,6600,0,0,0,0,55,yes
0.8,3.94,2400,0,0,0,0,20,yes
0.8,22.52,6900,113,0,0,0,57.5,yes
0.8,22.52,6720,90,0,0,0,56,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.7,4.15,960,0,0,0,0,8,yes
0.8,22.52,6840,100,0,0,0,57,yes
0.8,22.52,6960,100,0,0,0,58,yes
0.75,3.94,1320,0,0,0,0,11,yes
0.8,22.52,5460,63,0,0,0,56.5,yes
0.8,15.26,2040,50,0,0,0,35,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.75,29.12,6960,34,0,0,0,58,yes
0.7,25.31,5760,60,0,0,0,54,yes
0.7,18.79,4020,30,0,0,0,33.5,yes
0.7,24.26,6660,0,0,0,0,55.5,yes
0.7,24.26,6720,0,0,0,0,56,yes
0.8,4.3,1440,0,0,0,0,12,yes
0.7,2.9,960,0,0,0,0,8,yes
0.6,30.1,6960,0,0,0,0,58,yes
0.8,22.52,6900,100,0,0,0,57.5,yes
0.8,22.52,6840,113,0,0,0,57,yes
0.8,22.52,6720,113,0,0,0,56,yes
0.8,3.94,2160,0,0,0,0,18,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.7,4.15,3000,0,0,0,0,25,yes
0.8,22.52,6900,88,0,0,0,57.5,yes
0.8,15.26,4080,38,0,0,0,34,yes
0.8,22.52,6960,50,0,0,0,58,yes
0.7,3.94,960,0,0,0,0,8,yes
0.75,3.94,960,0,0,0,0,8,yes
0.7,18.79,3360,30,0,0,0,33,yes
0.7,24.26,6960,0,0,0,0,58,yes
0.7,10.05,6120,60,0,0,0,53,yes
0.7,29.12,6840,0,0,0,0,57,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.65,30.1,5820,0,90,10,0,58.5,yes
0.7,2.9,960,0,0,0,0,8,yes
0.35,30.1,6060,23,150,15,0,55.5,yes
0.8,22.52,6780,113,0,0,0,56.5,yes
0.8,22.52,6900,113,0,0,0,57.5,yes
0.8,22.52,6720,113,0,0,0,56,yes
0.8,3.94,2640,0,0,0,0,22,yes
0.8,22.52,6840,100,0,0,0,57,yes
0.7,2.9,960,0,0,0,0,8,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.7,3.94,1200,0,0,0,0,10,yes
0.8,3.94,1440,0,0,0,0,12,yes
0.8,15.26,720,38,0,0,0,34,yes
0.8,29.12,6960,50,0,0,0,58,yes
0.8,3.94,960,0,0,0,0,8,yes
0.75,10.05,2520,34,0,0,0,26,yes
0.7,18.79,2760,30,0,0,0,33,yes
0.7,30.1,6960,0,0,0,0,58,yes
0.07,24.26,6960,0,0,0,0,58,yes
0.5,30.1,6360,23,0,0,1,53,yes
0.7,24.26,6840,0,0,0,0,57,yes
0.8,3.94,3000,0,0,0,0,25,yes
0.8,22.52,6900,113,0,0,0,58,yes
0.8,22.52,6840,100,0,0,0,57,yes
0.8,22.52,6780,88,0,0,0,57,yes
0.8,22.52,6720,88,0,0,0,56,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.75,2.9,960,0,0,0,0,8,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,29.12,6960,50,0,0,0,58,yes
0.8,3.94,960,0,0,0,0,8,yes
0.75,18.79,1560,34,0,0,0,33,yes
0.75,10.05,3240,45,0,0,0,27,yes
0.7,3.94,1200,0,0,0,0,10,yes
0.7,24.26,6960,0,270,45,0,58,yes
0.6,30.1,6780,30,0,0,1,57,yes
0.7,30.1,7500,0,0,0,0,59,yes
0.8,4.3,960,0,0,0,0,8,yes
0.7,24.26,6840,0,300,37,0,57,yes
0.8,22.52,6900,113,0,0,0,57.5,yes
0.7,4.15,1440,0,0,0,0,12,yes
0.8,22.52,6720,88,0,0,0,56,yes
0.8,22.52,6780,88,0,0,0,56.5,yes
0.8,22.52,6720,88,0,0,0,56,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.8,3.94,2160,0,0,0,0,18,yes
0.7,4.15,1800,0,0,0,0,15,yes
0.8,15.26,2880,63,0,0,0,34,yes
0.8,29.12,6960,50,0,0,0,58,yes
0.75,18.79,3960,34,0,0,0,33,yes
0.75,10.05,3240,45,0,0,0,27,yes
0.7,30.1,7020,0,0,0,0,58.5,yes
0.75,2.9,960,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.65,30.1,6780,44,0,0,1,56.5,yes
0.7,24.26,6960,0,0,0,0,58,yes
0.7,24.26,6840,0,0,0,0,57,yes
0.8,3.94,2160,0,0,0,0,18,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.8,22.52,120,88,0,0,0,56,yes
0.8,22.52,3600,70,0,0,0,57,yes
0.8,22.52,360,70,0,0,0,57,yes
0.75,2.9,960,0,0,0,0,8,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,22.52,5400,50,0,0,0,57,yes
0.8,29.12,6960,50,0,0,0,58,yes
0.7,30.1,3300,50,0,0,1,57,yes
0.75,10.05,0,45,0,0,0,54,yes
0.35,4.15,1800,0,0,0,0,15,yes
0.7,30.1,7020,40,0,0,0,58,yes
0.8,3.94,960,0,0,0,0,8,yes
0.75,18.79,4080,0,0,0,0,34,yes
0.35,30.1,6960,0,0,0,1,58,yes
0.35,30.1,6960,0,0,0,1,58,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.8,3.94,2160,0,0,0,0,18,yes
0.8,22.52,0,88,0,0,0,56,yes
0.8,22.52,0,88,0,0,0,57,yes
0.8,22.52,0,88,0,0,0,57,yes
0.8,22.52,0,88,0,0,0,57,yes
0.8,3.94,1440,0,0,0,0,12,yes
0.8,29.12,2160,38,0,0,0,58,yes
0.8,15.26,4080,50,0,0,0,34,yes
0.7,4.15,1800,0,0,0,0,15,yes
0.75,18.79,2400,0,0,0,0,34,yes
0.8,10.05,3240,34,0,0,0,54,yes
0.75,30.1,7020,45,0,0,0,58,yes
0.35,4.15,960,0,0,0,0,8,yes
0.7,30.1,7020,40,0,0,1,58,yes
0.8,3.94,960,0,0,0,0,8,yes
0.75,2.9,960,0,0,0,0,8,yes
0.5,30.1,6960,23,0,0,1,58,yes
0.5,30.1,6960,30,0,0,1,58,yes
0.7,4.15,1800,0,0,0,0,15,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.8,22.52,0,90,0,0,0,57.5,yes
0.8,22.52,0,113,0,0,0,57,yes
0.35,4.15,1440,0,0,0,0,12,yes
0.8,3.94,2160,0,0,0,0,18,yes
0.7,4.15,240,0,0,0,0,2,yes
0.8,22.52,0,75,0,0,0,56,yes
0.8,18.79,3480,38,0,0,0,34,yes
0.8,15.26,4080,50,0,0,0,34,yes
0.8,29.12,3240,50,0,0,0,58,yes
0.75,30.1,7380,56,0,0,0,59.5,yes
0.6,30.1,4560,30,0,0,1,58,yes
0.7,30.1,5940,40,0,0,1,59.5,yes
0.8,3.94,1440,0,0,0,0,12,yes
0.6,30.1,3360,23,0,0,1,58,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,22.52,6840,0,0,0,1,57,yes
0.35,11.41,3240,0,0,0,1,52,yes
0.8,22.52,0,138,0,0,0,57,yes
0.7,4.15,1800,0,0,0,0,15,yes
0.8,22.52,0,113,0,0,0,57.5,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.8,15.26,4080,50,0,0,0,34,yes
0.35,4.15,1440,0,0,0,0,12,yes
0.75,30.1,7080,56,0,0,0,59,yes
0.8,18.79,3960,0,0,0,0,33,yes
0.8,3.94,1440,0,0,0,0,12,yes
0.8,3.94,960,0,0,0,0,8,yes
0.7,30.1,7080,0,0,0,1,59,yes
0.8,3.94,2160,0,0,0,0,18,yes
0.7,4.15,240,0,0,0,0,2,yes
0.65,30.1,7080,0,0,0,1,59,yes
0.5,11.41,2280,0,0,0,2,55,yes
0.8,29.12,6960,0,0,0,0,58,yes
0.65,30.1,7080,0,0,0,1,59,yes
0.8,22.52,6000,0,0,0,0,50,yes
0.35,30.1,6960,0,0,0,1,58,yes
0.8,22.52,6840,113,0,0,0,57,yes
0.7,4.15,1800,0,0,0,0,15,yes
0.75,4.15,2400,0,0,0,0,20,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,22.52,3660,63,0,0,0,57,yes
0.8,3.94,1440,0,0,0,0,12,yes
0.75,30.1,7140,0,0,0,1,59,yes
0.75,30.1,7140,56,0,0,0,59,yes
0.7,4.15,960,0,0,0,0,8,yes
0.7,30.1,5160,0,0,0,1,60,yes
0.7,30.1,7200,0,0,0,1,60,yes
0.6,11.41,2280,23,0,0,2,55,yes
0.8,18.79,4080,0,0,0,0,34,yes
0.5,30.1,6960,30,0,0,1,58,yes
0.8,2.9,960,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,22.52,6840,113,0,0,0,57,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.8,15.26,1440,50,0,0,0,34,yes
0.75,4.15,240,0,0,0,0,2,yes
0.8,30.1,7140,0,0,0,0,59.5,yes
0.6,2.9,1200,0,0,0,0,10,yes
0.7,30.1,7080,0,0,0,1,59,yes
0.7,30.1,5880,40,2,10,1,59,yes
0.75,18.79,4080,0,0,0,0,34,yes
0.65,11.41,2640,23,0,0,2,53,yes
0.7,4.15,960,0,0,0,0,8,yes
0.8,2.9,960,0,0,0,0,8,yes
0.75,30.1,7140,0,0,0,1,59.5,yes
0.6,30.1,6960,30,0,0,1,58,yes
0.8,22.52,6900,0,0,0,0,57.5,yes
0.75,4.15,2400,0,0,0,0,20,yes
0.5,18.79,5280,0,0,0,1,54,yes
0.8,22.52,6840,113,0,0,0,57,yes
0.8,3.94,1200,0,0,0,0,10,yes
0.8,4.08,1080,0,0,0,0,9,yes
0.5,4.15,960,0,0,0,0,8,yes
0.65,30.1,600,63,0,0,1,58,yes
0.8,30.1,0,0,0,0,0,59,yes
0.8,15.26,3720,38,0,0,0,34,yes
0.8,2.9,960,0,0,0,0,8,yes
0.75,18.79,3960,0,0,0,0,33,yes
0.75,30.1,7020,0,0,0,1,58,yes
0.75,4.15,1800,0,0,0,0,15,yes
0.7,30.1,600,30,0,0,1,59,yes
0.75,4.15,1200,0,0,0,0,10,yes
0.7,30.1,7080,27,2,10,2,59,yes
0.7,11.41,2160,30,0,0,2,54,yes
0.6,18.22,5280,0,0,0,1,44,yes
0.6,18.79,5400,0,0,0,1,54,yes
0.7,4.15,1800,0,0,0,0,15,yes
0.8,22.52,6840,113,0,0,0,57,yes
0.8,3.94,960,0,0,0,0,8,yes
0.7,5.13,1200,0,0,0,0,10,yes
0.8,5.13,1080,0,0,0,0,9,yes
0.8,15.26,4080,38,0,0,0,34,yes
0.5,5.13,1800,0,0,0,0,15,yes
0.75,18.79,3360,0,0,0,0,33,yes
0.75,30.1,7020,45,0,0,1,58,yes
0.8,2.9,960,0,0,0,0,8,yes
0.7,30.1,840,30,0,0,1,59,yes
0.7,11.41,3420,30,0,0,2,56,yes
0.7,30.1,6960,50,0,0,1,58,yes
0.75,5.13,960,0,0,0,0,8,yes
0.8,30.1,7140,0,0,0,0,59,yes
0.65,18.79,5520,0,0,0,1,51,yes
0.6,29.4,0,23,5,30,2,58,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,5.13,1800,0,0,0,0,15,yes
0.5,30.33,6720,0,0,0,1,56,yes
0.65,18.22,0,0,8,35,1,49,yes
0.8,5.13,1200,0,0,0,0,10,yes
0.8,2.9,1440,0,0,0,0,12,yes
0.8,5.13,1440,0,0,0,0,12,yes
0.7,11.41,3360,30,0,0,2,56,yes
0.8,30.1,480,50,0,0,1,58,yes
0.8,30.1,0,0,0,0,0,59,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,22.52,3960,63,0,0,0,57,yes
0.75,18.79,3960,34,0,0,0,33,yes
0.75,30.1,2280,45,0,0,1,59,yes
0.75,5.13,960,0,0,0,0,8,yes
0.7,30.1,0,40,0,0,1,58,yes
0.7,18.79,4560,30,0,0,1,51,yes
0.7,5.13,960,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.7,5.13,960,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.6,30.33,6840,0,0,0,1,57,yes
0.7,19.68,5640,0,8,35,1,47,yes
0.5,5.13,960,0,0,0,0,8,yes
0.65,29.4,4560,0,4,30,2,57,yes
0.5,5.13,2880,0,0,0,0,12,yes
0.8,15.26,1080,38,0,0,0,34,yes
0.8,22.52,3840,63,0,0,0,57,yes
0.8,30.1,7020,63,0,0,1,58.5,yes
0.8,30.1,600,63,4,15,0,59.5,yes
0.8,2.9,4320,0,0,0,0,18,yes
0.75,18.79,3960,56,0,0,0,33,yes
0.8,3.94,2400,0,0,0,0,10,yes
0.8,5.13,3600,0,0,0,0,15,yes
0.7,30.1,6960,50,0,0,1,58,yes
0.7,11.41,3480,30,0,0,2,58,yes
0.7,29.4,6240,0,0,0,2,57,yes
0.75,5.13,1920,0,0,0,0,8,yes
0.7,5.13,1920,0,0,0,0,8,yes
0.7,18.79,6120,30,0,0,1,51,yes
0.75,5.13,1920,0,0,0,0,8,yes
0.75,30.1,0,0,5,20,1,59,yes
0.8,5.13,2160,0,0,0,0,9,yes
0.65,30.33,6840,0,0,0,1,57,yes
0.7,19.68,5760,0,0,0,1,48,yes
0.5,5.13,1800,0,0,0,0,15,yes
0.8,2.9,960,0,0,0,0,8,yes
0.8,5.13,4800,0,0,0,0,20,yes
0.6,2.9,2880,0,0,0,0,12,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,30.1,5820,63,0,0,1,59,yes
0.8,5.13,2400,0,0,0,0,10,yes
0.8,3.94,2400,0,0,0,0,10,yes
0.75,18.79,3960,45,0,0,0,33,yes
0.8,3.94,2880,0,0,0,0,12,yes
0.7,29.4,6840,40,0,0,2,57,yes
0.7,30.33,6840,0,0,0,1,57,yes
0.75,11.41,3480,0,0,0,2,58,yes
0.7,18.79,3240,30,0,0,1,57,yes
0.7,30.1,8160,33,0,0,2,58,yes
0.7,21.25,6000,0,0,0,1,50,yes
0.75,30.1,6960,0,4,20,1,58,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,30.1,5700,0,4,25,0,60,yes
0.7,5.13,960,0,0,0,0,8,yes
0.8,3.94,2400,0,0,0,0,20,yes
0.7,5.13,960,0,0,0,0,8,yes
0.8,5.13,1080,0,0,0,0,9,yes
0.8,5.13,2160,0,0,0,0,18,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,30.1,7140,38,0,0,1,59,yes
0.8,30.1,7140,38,0,0,0,59,yes
0.75,30.1,6960,45,0,0,1,58,yes
0.75,18.79,3960,45,0,0,0,33,yes
0.75,11.41,2820,0,0,0,2,58,yes
0.7,30.33,2160,30,0,0,1,58,yes
0.7,29.4,6840,40,0,0,2,57,yes
0.7,29.4,6960,30,0,0,2,58,yes
0.7,18.79,6000,40,0,0,1,50,yes
0.7,21.25,6000,0,0,0,1,50,yes
0.8,2.9,960,0,0,0,0,8,yes
0.8,2.9,960,0,0,0,0,8,yes
0.8,5.13,960,0,0,0,0,8,yes
0.7,5.13,960,0,0,0,0,8,yes
0.7,2.9,1800,0,0,0,0,15,yes
0.8,4.6,1440,0,0,0,0,12,yes
0.8,15.26,4080,50,0,0,0,34,yes
0.8,30.1,7140,50,0,0,0,60,yes
0.8,30.1,6480,50,0,0,1,59,yes
0.7,4.6,960,0,0,0,0,8,yes
0.75,30.1,5640,45,0,0,1,59,yes
0.75,18.79,3360,45,0,0,0,33,yes
0.75,11.61,3360,34,0,0,2,57,yes
0.75,29.4,5340,45,0,0,2,60,yes
0.75,2.9,1800,0,0,0,0,15,yes
0.7,2.9,1800,0,0,0,0,15,yes
0.7,30.33,1680,30,0,0,1,59,yes
0.7,29.4,4560,40,0,0,2,58,yes
0.7,18.79,3000,30,0,0,1,52,yes
0.7,2.9,960,0,0,0,0,8,yes
0.7,21.25,6360,0,0,0,1,53,yes
0.7,3.9,960,0,0,0,0,8,yes
0.6,22.53,5040,0,0,0,1,42,yes
0.75,18.79,6240,56,0,0,1,52,yes
0.8,4.6,1080,0,0,0,0,9,yes
0.8,4.6,2400,0,0,0,0,20,yes
0.8,4.6,1800,0,0,0,0,15,yes
0.7,2.9,1200,0,0,0,0,10,yes
0.8,30.1,4080,50,0,0,1,59,yes
0.8,15.26,4080,50,0,0,0,34,yes
0.8,30.1,7080,50,0,0,2,59,yes
0.75,18.79,3960,45,0,0,1,33,yes
0.75,11.61,3360,45,0,0,0,57,yes
0.75,29.4,6960,45,0,0,2,58,yes
0.7,29.4,6960,30,0,0,1,58,yes
0.7,30.33,3960,30,0,0,1,58,yes
0.7,21.82,6240,0,0,0,2,52,yes
0.75,4.6,960,0,0,0,0,8,yes
0.7,4.6,960,0,0,0,0,8,yes
0.8,30.1,1200,49,0,0,1,59,yes
0.65,22.53,5040,0,0,0,1,42,yes
0.7,3.9,960,0,0,0,0,8,yes
0.75,2.9,960,0,0,0,0,8,yes
0.7,2.9,960,0,0,0,0,8,yes
0.8,4.6,6300,0,0,0,0,15,yes
0.8,4.6,7560,0,0,0,0,18,yes
0.8,30.1,4080,50,0,0,1,59,yes
0.8,11.61,2820,50,0,0,2,57,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.5,3.94,3360,0,0,0,0,8,yes
0.75,18.79,3960,45,0,0,0,33,yes
0.75,29.4,6840,45,0,0,2,57,yes
0.75,18.79,5640,45,0,0,1,52,yes
0.75,29.4,6960,56,0,0,2,58,yes
0.7,21.82,3240,0,0,0,1,52,yes
0.7,30.33,6960,0,0,0,1,58,yes
0.8,4.6,3780,0,0,0,0,9,yes
0.7,3.9,960,0,0,0,0,8,yes
0.8,30.1,7080,32,0,0,2,59,yes
0.35,27.48,6840,38,0,0,1,57,yes
0.7,2.9,3360,0,0,0,0,8,yes
0.75,2.9,960,0,0,0,0,8,yes
0.35,26.66,6600,23,0,0,2,55,yes
0.75,4.6,3360,0,0,0,0,8,yes
0.75,2.9,3360,0,0,0,0,8,yes
0.8,4.6,6300,0,0,0,0,15,yes
0.8,4.6,7560,0,0,0,0,18,yes
0.8,11.61,0,50,0,0,2,58,yes
0.8,15.26,1700,62,0,0,0,34,yes
0.8,30.1,840,38,0,0,1,59,yes
0.5,3.94,3360,0,0,0,0,8,yes
0.75,29.4,4440,45,0,0,2,57,yes
0.75,18.79,3960,45,0,0,0,33,yes
0.75,29.4,4560,56,0,0,2,58,yes
0.75,18.79,6240,45,0,0,1,52,yes
0.7,21.82,6120,40,0,0,1,51,yes
0.7,30.33,4560,0,0,0,1,58,yes
0.8,4.6,3780,0,0,0,0,9,yes
0.7,3.9,960,0,0,0,0,8,yes
0.5,27.48,6840,30,0,0,1,57,yes
0.5,26.66,6840,30,0,0,2,57,yes
0.5,26.66,6960,23,0,0,2,58,yes
0.7,2.9,3360,0,0,0,0,8,yes
0.75,2.9,960,0,0,0,0,8,yes
0.75,4.6,3360,0,0,0,0,8,yes
0.75,2.9,3360,0,0,0,0,8,yes
0.8,4.6,10500,0,0,0,0,25,yes
0.75,4.6,3360,0,0,0,0,8,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.75,29.4,6240,56,0,0,0,57,yes
0.75,18.79,3960,45,0,0,0,33,yes
0.75,29.4,6840,45,0,0,0,57,yes
0.75,18.79,6240,34,0,0,0,52,yes
0.6,27.48,6720,38,0,0,0,56,yes
0.7,21.82,5640,30,0,0,0,52,yes
0.6,26.66,6840,38,0,0,0,57,yes
0.7,30.33,1800,0,0,0,0,58,yes
0.8,11.61,0,50,4,20,0,57,yes
0.6,3.94,960,0,0,0,0,8,yes
0.7,2.9,3360,0,0,0,0,8,yes
0.6,26.66,6840,23,0,0,0,57,yes
0.7,3.9,960,0,0,0,0,8,yes
0.8,30.1,6960,0,4,15,0,58,yes
0.6,3.94,3360,0,0,0,0,8,yes
0.75,2.9,960,0,0,0,0,8,yes
0.8,4.6,3360,0,0,0,0,8,yes
0.7,3.9,1200,0,0,0,0,10,yes
0.8,4.6,10080,0,0,0,0,24,yes
0.65,3.94,960,0,0,0,0,8,yes
0.65,26.66,6840,65,0,0,0,57,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.75,2.9,1200,0,0,0,0,10,yes
0.8,11.61,0,50,0,0,0,57,yes
0.8,29.4,4680,50,0,0,0,57,yes
0.8,30.1,7080,0,0,0,0,59,yes
0.75,4.6,3360,0,0,0,0,8,yes
0.75,18.79,2880,34,0,0,0,33,yes
0.75,29.4,6840,45,0,0,0,57,yes
0.75,18.79,6240,45,0,0,0,52,yes
0.65,26.66,6780,55,0,0,0,57,yes
0.65,27.48,6720,34,0,0,0,56,yes
0.7,21.82,3600,30,0,0,0,51,yes
0.7,2.9,3360,0,0,0,0,8,yes
0.8,4.6,3780,0,0,0,0,9,yes
0.65,3.94,3360,0,0,0,0,8,yes
0.8,4.6,3360,0,0,0,0,8,yes
0.8,4.6,4200,0,0,0,0,10,yes
0.8,4.6,6300,0,0,0,0,15,yes
0.8,11.41,0,50,0,0,0,56,yes
0.7,26.66,6960,60,0,0,0,58,yes
0.8,15.26,4080,50,0,0,0,34,yes
0.8,29.4,6840,50,0,0,0,57,yes
0.8,30.1,7080,50,0,0,0,59,no
0.7,26.66,6960,50,0,0,0,58,no
0.75,29.4,6840,56,0,0,0,57,no
0.75,18.79,6240,34,0,0,0,52,no
0.75,20.2,3120,45,0,0,0,33,no
0.75,4.6,3360,0,0,0,0,8,no
0.7,27.48,6840,30,0,0,0,57,no
0.7,21.82,5040,30,0,0,0,51,no
0.8,4.6,3780,0,0,0,0,9,no
0.4,3.9,6300,0,0,0,0,15,no
0.7,3.94,3360,0,0,0,0,8,no
0.7,3.94,3360,0,0,0,0,8,no
0.7,2.9,3360,0,0,0,0,8,no
0.7,4.6,3360,0,0,0,0,8,no
0.75,2.9,3360,0,0,0,0,8,no
0.4,15.28,5400,0,6,30,1,45,no
0.8,4.6,1200,0,0,0,0,10,no
0.8,4.6,960,0,0,0,0,8,no
0.8,4.6,1080,0,0,0,0,9,no
0.75,2.9,960,0,0,0,0,8,no
0.7,3.94,960,0,0,0,0,8,no
0.7,3.94,960,0,0,0,0,8,no
0.8,11.41,0,38,0,0,0,56,no
0.8,15.26,4080,50,0,0,0,34,no
0.8,29.4,6840,63,0,0,0,57,no
0.8,30.1,3960,50,0,0,0,59,no
0.7,26.82,6960,60,0,0,0,58,no
0.7,26.82,6960,50,0,0,0,58,no
0.75,18.79,6240,34,0,0,0,52,no
0.7,27.48,6960,40,0,0,0,58,no
0.7,21.82,5760,30,0,0,0,53,no
0.8,4.6,8400,0,0,0,0,20,no
0.7,4.6,960,0,0,0,0,8,no
0.5,3.9,960,0,0,0,0,8,no
0.8,29.4,6840,0,0,0,0,57,no
0.5,15.28,5520,0,0,0,1,46,no
0.75,18.79,3960,0,0,0,0,33,no
0.8,4.6,2640,0,0,0,0,22,no
0.6,3.9,960,0,0,0,0,8,no
0.8,2.9,1200,0,0,0,0,10,no
0.8,4.6,1080,0,0,0,0,9,no
0.7,3.94,960,0,0,0,0,8,no
0.7,3.94,960,0,0,0,0,8,no
0.8,4.6,1800,0,0,0,0,15,no
0.8,11.41,3420,50,0,0,0,56,no
0.8,29.4,1800,63,0,0,0,57,no
0.8,15.26,4080,50,0,0,0,34,no
0.7,26.82,6960,50,0,0,0,58,no
0.75,18.79,6240,45,0,0,0,52,no
0.7,26.82,7080,50,0,0,0,59,no
0.7,27.48,6960,40,0,0,0,58,no
0.7,21.82,6000,30,0,0,0,50,no
0.6,15.28,1320,0,0,0,1,46,no
0.75,2.9,960,0,0,0,0,8,no
0.8,30.1,1200,0,4,40,0,59,no
0.35,22.53,2640,0,0,0,1,39,no
0.8,4.6,1080,0,0,0,0,9,no
0.8,15.26,4080,75,0,0,0,34,no
0.7,26.82,8160,70,0,0,0,58,no
0.8,4.6,6000,0,0,0,0,25,no
0.35,3.94,2400,0,0,0,0,10,no
0.7,26.82,6960,60,0,0,0,58,no
0.8,29.4,6840,63,0,0,1,57,no
0.8,11.41,3420,50,0,0,0,58,no
0.5,2.9,960,0,0,0,0,8,no
0.75,18.79,3480,45,0,0,0,51,no
0.7,21.82,6000,30,0,0,0,50,yes
0.7,3.94,960,0,0,0,0,8,yes
0.7,3.94,960,0,0,0,0,8,yes
0.8,2.9,960,0,0,0,0,8,yes
0.65,16.1,4200,0,0,0,1,45,yes
0.8,4.6,3600,0,0,0,0,15,yes
0.65,3.9,1920,0,0,0,0,8,yes
0.5,23.41,2280,0,0,0,1,39,yes
0.7,27.48,6960,24,0,0,1,58,yes
0.8,4.6,1440,0,0,0,0,12,yes
0.8,4.6,1080,0,0,0,0,9,yes
0.75,2.9,1080,0,0,0,0,9,yes
0.75,3.94,960,0,0,0,0,8,yes
0.75,3.94,960,0,0,0,0,8,yes
0.7,3.9,1200,0,0,0,0,10,yes
0.5,3.94,960,0,0,0,0,8,yes
0.75,26.82,6840,65,0,0,0,57,yes
0.75,26.82,6960,65,0,0,0,58,yes
0.8,30.1,3360,50,0,0,1,57,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,11.41,3420,50,0,0,0,58,yes
0.8,2.9,960,0,0,0,0,8,yes
0.75,18.79,5640,45,0,0,0,52,yes
0.7,21.82,6000,30,0,0,0,50,yes
0.7,16.1,4800,30,0,0,1,45,yes
0.6,23.41,2520,23,0,0,1,38,yes
0.6,30.48,6720,0,0,0,1,56,yes
0.5,26.82,7080,23,0,0,1,59,yes
0.6,3.9,960,0,0,0,0,8,yes
0.7,2.9,960,0,0,0,0,8,yes
0.6,2.9,960,0,0,0,0,8,yes
0.8,2.9,0,960,0,0,0,8,yes
0.8,4.6,0,1080,0,0,0,9,yes
0.6,3.94,0,2880,0,0,0,12,yes
0.75,26.82,7020,65,0,0,0,58,yes
0.75,26.82,7140,65,0,0,0,59,yes
0.75,2.9,0,3600,0,0,0,15,yes
0.8,30.1,5160,50,0,0,1,58,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,11.41,3420,50,0,0,0,58,yes
0.8,4.6,0,1440,0,0,0,12,yes
0.75,3.94,0,960,0,0,0,8,yes
0.75,3.94,0,960,0,0,0,8,yes
0.75,18.79,6240,45,0,0,0,52,yes
0.7,16.1,5520,30,0,0,1,45,yes
0.7,21.82,6000,30,0,0,0,50,yes
0.7,3.9,0,1200,0,0,0,10,yes
0.65,23.41,4560,35,0,0,1,38,yes
0.65,30.48,6720,26,0,0,1,56,yes
0.6,26.82,7080,23,0,0,1,59,yes
0.5,30.48,6600,0,0,0,1,55,yes
0.7,2.9,0,960,0,0,0,8,yes
0.65,3.9,0,960,0,0,0,8,yes
0.8,4.6,1080,0,0,0,0,9,yes
0.6,3.94,1440,0,0,0,0,12,yes
0.75,26.82,7080,75,0,0,0,59,yes
0.8,4.6,1440,0,0,0,0,12,yes
0.75,3.94,960,0,0,0,0,8,yes
0.75,3.94,960,0,0,0,0,8,yes
0.75,26.82,5880,65,0,0,0,59,yes
